OS Name = Unknown       City Name = aba Amount event per city =         2
OS Name = Unknown mobile        City Name = shenzhen    Amount event per city =         9
OS Name = WebOS City Name = shenzhen    Amount event per city =         2
OS Name = Bada  City Name = shijiazhuang        Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = shijiazhuang        Amount event per city =         3
OS Name = Sony Playstation      City Name = shijiazhuang        Amount event per city =         1
OS Name = Symbian OS    City Name = shijiazhuang        Amount event per city =         3
OS Name = Symbian OS 9.x        City Name = shijiazhuang        Amount event per city =         5
OS Name = Unknown       City Name = shijiazhuang        Amount event per city =         80
OS Name = Unknown mobile        City Name = shijiazhuang        Amount event per city =         2
OS Name = Unknown       City Name = shiyan      Amount event per city =         6
OS Name = Unknown       City Name = shizuishan  Amount event per city =         8
OS Name = Unknown mobile        City Name = shizuishan  Amount event per city =         1
OS Name = Unknown       City Name = shuangyashan        Amount event per city =         3
OS Name = Unknown       City Name = shuozhou    Amount event per city =         3
OS Name = BlackBerry Tablet OS  City Name = sichuan     Amount event per city =         5
OS Name = MeeGo City Name = sichuan     Amount event per city =         2
OS Name = Unknown       City Name = sichuan     Amount event per city =         22
OS Name = Unknown       City Name = siping      Amount event per city =         9
OS Name = Unknown       City Name = songyuan    Amount event per city =         2
OS Name = Unknown       City Name = suihua      Amount event per city =         4
OS Name = Unknown       City Name = suining     Amount event per city =         7
OS Name = Unknown       City Name = suizhou     Amount event per city =         4
OS Name = Unknown       City Name = suqian      Amount event per city =         19
OS Name = Unknown       City Name = suzhou      Amount event per city =         9
OS Name = BlackBerry 7  City Name = suzhou_jiangsu      Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = suzhou_jiangsu      Amount event per city =         2
OS Name = Chrome OS     City Name = suzhou_jiangsu      Amount event per city =         4
OS Name = MeeGo City Name = suzhou_jiangsu      Amount event per city =         4
OS Name = Sony Playstation      City Name = suzhou_jiangsu      Amount event per city =         3
OS Name = Unknown       City Name = suzhou_jiangsu      Amount event per city =         133
OS Name = Unknown       City Name = tacheng     Amount event per city =         1
OS Name = Unknown       City Name = taian       Amount event per city =         17
OS Name = Bada  City Name = taiwan      Amount event per city =         2
OS Name = BlackBerry Tablet OS  City Name = taiwan      Amount event per city =         1
OS Name = Sony Playstation      City Name = taiwan      Amount event per city =         2
OS Name = Symbian OS    City Name = taiwan      Amount event per city =         2
OS Name = Unknown       City Name = taiwan      Amount event per city =         110
OS Name = Unknown mobile        City Name = taiwan      Amount event per city =         2
OS Name = Xbox OS       City Name = taiwan      Amount event per city =         1
OS Name = BlackBerry 7  City Name = taiyuan     Amount event per city =         1
OS Name = Chrome OS     City Name = taiyuan     Amount event per city =         1
OS Name = Unknown       City Name = taiyuan     Amount event per city =         89
OS Name = Unknown mobile        City Name = taiyuan     Amount event per city =         1
OS Name = Maemo City Name = taizhou     Amount event per city =         1
OS Name = MeeGo City Name = taizhou     Amount event per city =         3
OS Name = Unknown       City Name = taizhou     Amount event per city =         35
OS Name = Maemo City Name = taizhou_jiangsu     Amount event per city =         1
OS Name = Unknown       City Name = taizhou_jiangsu     Amount event per city =         20
OS Name = Unknown       City Name = tangshan    Amount event per city =         32
OS Name = Unknown mobile        City Name = tangshan    Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = tianjin     Amount event per city =         12
OS Name = BlackBerryOS  City Name = tianjin     Amount event per city =         2
OS Name = MeeGo City Name = tianjin     Amount event per city =         2
OS Name = Sony Ericsson City Name = tianjin     Amount event per city =         1
OS Name = Sony Playstation      City Name = tianjin     Amount event per city =         1
OS Name = Symbian OS    City Name = tianjin     Amount event per city =         2
OS Name = Unknown       City Name = tianjin     Amount event per city =         242
OS Name = Unknown mobile        City Name = tianjin     Amount event per city =         2
OS Name = Unknown       City Name = tianshui    Amount event per city =         2
OS Name = Unknown       City Name = tieling     Amount event per city =         7
OS Name = Sony Playstation      City Name = tonghua     Amount event per city =         2
OS Name = Unknown       City Name = tonghua     Amount event per city =         2
OS Name = Unknown       City Name = tongliao    Amount event per city =         3
OS Name = Unknown       City Name = tongling    Amount event per city =         7
OS Name = Unknown       City Name = tongren     Amount event per city =         4
OS Name = Unknown       City Name = tulufan     Amount event per city =         2
OS Name = BlackBerry 6  City Name = unknown     Amount event per city =         5
OS Name = BlackBerry 7  City Name = unknown     Amount event per city =         9
OS Name = BlackBerry Tablet OS  City Name = unknown     Amount event per city =         42
OS Name = BlackBerryOS  City Name = unknown     Amount event per city =         1
OS Name = Chrome OS     City Name = unknown     Amount event per city =         27
OS Name = Maemo City Name = unknown     Amount event per city =         3
OS Name = MeeGo City Name = unknown     Amount event per city =         13
OS Name = Nintendo Wii  City Name = unknown     Amount event per city =         2
OS Name = Sony Playstation      City Name = unknown     Amount event per city =         9
OS Name = SunOS City Name = unknown     Amount event per city =         2
OS Name = Symbian OS    City Name = unknown     Amount event per city =         14
OS Name = Symbian OS 9.x        City Name = unknown     Amount event per city =         3
OS Name = Unknown       City Name = unknown     Amount event per city =         1459
OS Name = Unknown mobile        City Name = unknown     Amount event per city =         14
OS Name = BlackBerry Tablet OS  City Name = weifang     Amount event per city =         1
OS Name = MeeGo City Name = weifang     Amount event per city =         2
OS Name = Sony Playstation      City Name = weifang     Amount event per city =         1
OS Name = Unknown       City Name = weifang     Amount event per city =         40
OS Name = Symbian OS 9.x        City Name = weihai      Amount event per city =         2
OS Name = Unknown       City Name = weihai      Amount event per city =         9
OS Name = Unknown       City Name = weinan      Amount event per city =         11
OS Name = Unknown       City Name = wenshan     Amount event per city =         6
OS Name = Unknown mobile        City Name = wenshan     Amount event per city =         1
OS Name = MeeGo City Name = wenzhou     Amount event per city =         3
OS Name = Symbian OS 9.x        City Name = wenzhou     Amount event per city =         1
OS Name = Unknown       City Name = wenzhou     Amount event per city =         86
OS Name = Unknown mobile        City Name = wenzhou     Amount event per city =         1
OS Name = Unknown       City Name = wuhai       Amount event per city =         4
OS Name = BlackBerry 7  City Name = wuhan       Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = wuhan       Amount event per city =         4
OS Name = MeeGo City Name = wuhan       Amount event per city =         5
OS Name = Sony Playstation      City Name = wuhan       Amount event per city =         1
OS Name = Symbian OS 9.x        City Name = wuhan       Amount event per city =         1
OS Name = Unknown       City Name = wuhan       Amount event per city =         139
OS Name = Unknown mobile        City Name = wuhan       Amount event per city =         3
OS Name = WebOS City Name = wuhan       Amount event per city =         1
OS Name = Unknown       City Name = wuhu        Amount event per city =         16
OS Name = Unknown mobile        City Name = wuhu        Amount event per city =         1
OS Name = Unknown       City Name = wulanchabu  Amount event per city =         4
OS Name = Bada  City Name = wulumuqi    Amount event per city =         1
OS Name = Maemo City Name = wulumuqi    Amount event per city =         5
OS Name = Sony Playstation      City Name = wulumuqi    Amount event per city =         1
OS Name = Unknown       City Name = wulumuqi    Amount event per city =         27
OS Name = Unknown       City Name = wuwei       Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = wuxi        Amount event per city =         4
OS Name = BlackBerryOS  City Name = wuxi        Amount event per city =         1
OS Name = Sony Playstation      City Name = wuxi        Amount event per city =         1
OS Name = Unknown       City Name = wuxi        Amount event per city =         110
OS Name = Unknown mobile        City Name = wuxi        Amount event per city =         1
OS Name = Unknown       City Name = wuzhong     Amount event per city =         5
OS Name = Unknown       City Name = wuzhou      Amount event per city =         11
OS Name = Sony Playstation      City Name = xiamen      Amount event per city =         1
OS Name = Unknown       City Name = xiamen      Amount event per city =         50
OS Name = Unknown mobile        City Name = xiamen      Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = xian        Amount event per city =         1
OS Name = BlackBerryOS  City Name = xian        Amount event per city =         2
OS Name = MeeGo City Name = xian        Amount event per city =         1
OS Name = Sony Playstation      City Name = xian        Amount event per city =         3
OS Name = Unknown       City Name = xian        Amount event per city =         168
OS Name = Unknown mobile        City Name = xian        Amount event per city =         2
OS Name = WebOS City Name = xian        Amount event per city =         1
OS Name = BlackBerry Tablet OS  City Name = xiangfan    Amount event per city =         3
OS Name = Symbian OS    City Name = xiangfan    Amount event per city =         1
OS Name = Unknown       City Name = xiangfan    Amount event per city =         9
OS Name = Unknown mobile        City Name = xiangfan    Amount event per city =         1
OS Name = Bada  City Name = xianggang   Amount event per city =         1
OS Name = Sony Playstation      City Name = xianggang   Amount event per city =         1
OS Name = Symbian OS    City Name = xianggang   Amount event per city =         2
OS Name = Unknown       City Name = xianggang   Amount event per city =         13
OS Name = Unknown mobile        City Name = xianggang   Amount event per city =         1
OS Name = Unknown       City Name = xiangtan    Amount event per city =         12
OS Name = Unknown       City Name = xiangxi     Amount event per city =         4
OS Name = BlackBerry Tablet OS  City Name = xianning    Amount event per city =         1
OS Name = Unknown       City Name = xianning    Amount event per city =         7
OS Name = Unknown       City Name = xianyang    Amount event per city =         34
OS Name = Unknown       City Name = xiaogan     Amount event per city =         9
OS Name = Unknown       City Name = xilinguole  Amount event per city =         2
OS Name = Unknown       City Name = xingan      Amount event per city =         2
OS Name = BlackBerry Tablet OS  City Name = xingtai     Amount event per city =         2
OS Name = Sony Playstation      City Name = xingtai     Amount event per city =         1
OS Name = Unknown       City Name = xingtai     Amount event per city =         28
OS Name = Unknown       City Name = xining      Amount event per city =         16
OS Name = Unknown       City Name = xinjiang    Amount event per city =         5
OS Name = Unknown       City Name = xinxiang    Amount event per city =         30
OS Name = Unknown       City Name = xinyang     Amount event per city =         11
OS Name = Unknown       City Name = xinyu       Amount event per city =         6
OS Name = Unknown       City Name = xinzhou     Amount event per city =         14
OS Name = Unknown       City Name = xishuangbanna       Amount event per city =         5
OS Name = Unknown       City Name = xizang      Amount event per city =         1
OS Name = Unknown       City Name = xuancheng   Amount event per city =         9
OS Name = Unknown       City Name = xuchang     Amount event per city =         10
OS Name = Unknown mobile        City Name = xuchang     Amount event per city =         1
OS Name = Symbian OS    City Name = xuzhou      Amount event per city =         2
OS Name = Unknown       City Name = xuzhou      Amount event per city =         38
OS Name = Unknown mobile        City Name = xuzhou      Amount event per city =         1
OS Name = Unknown       City Name = yaan        Amount event per city =         5
OS Name = Unknown       City Name = yanan       Amount event per city =         2
OS Name = Unknown       City Name = yanbian     Amount event per city =         11
OS Name = Unknown       City Name = yancheng    Amount event per city =         18
OS Name = Unknown mobile        City Name = yancheng    Amount event per city =         1
OS Name = MeeGo City Name = yangjiang   Amount event per city =         2
OS Name = Unknown       City Name = yangjiang   Amount event per city =         13
OS Name = Unknown       City Name = yangquan    Amount event per city =         6
OS Name = MeeGo City Name = yangzhou    Amount event per city =         2
OS Name = Unknown       City Name = yangzhou    Amount event per city =         15
OS Name = BlackBerry Tablet OS  City Name = yantai      Amount event per city =         1
OS Name = MeeGo City Name = yantai      Amount event per city =         1
OS Name = Symbian OS    City Name = yantai      Amount event per city =         2
OS Name = Unknown       City Name = yantai      Amount event per city =         31
OS Name = Sony Playstation      City Name = yibin       Amount event per city =         3
OS Name = Unknown       City Name = yibin       Amount event per city =         18
OS Name = Unknown       City Name = yichang     Amount event per city =         4
OS Name = Unknown       City Name = yichun_134  Amount event per city =         10
OS Name = Unknown       City Name = yichun_65   Amount event per city =         9
OS Name = Unknown       City Name = yili        Amount event per city =         9
OS Name = Unknown       City Name = yinchuan    Amount event per city =         10
OS Name = Unknown       City Name = yingkou     Amount event per city =         5
OS Name = BlackBerry Tablet OS  City Name = yingtan     Amount event per city =         2
OS Name = Unknown       City Name = yingtan     Amount event per city =         4
OS Name = Unknown       City Name = yiyang      Amount event per city =         11
OS Name = Unknown       City Name = yongzhou    Amount event per city =         4
OS Name = Unknown       City Name = yueyang     Amount event per city =         14
OS Name = Unknown       City Name = yulin_238   Amount event per city =         15
OS Name = BlackBerry Tablet OS  City Name = yulin_333   Amount event per city =         1
OS Name = Unknown       City Name = yulin_333   Amount event per city =         7
OS Name = MeeGo City Name = yuncheng    Amount event per city =         1
OS Name = Unknown       City Name = yuncheng    Amount event per city =         11
OS Name = MeeGo City Name = yunfu       Amount event per city =         1
OS Name = Unknown       City Name = yunfu       Amount event per city =         7
OS Name = Unknown       City Name = yunnan      Amount event per city =         6
OS Name = Unknown       City Name = yuxi        Amount event per city =         6
OS Name = Unknown       City Name = zaozhuang   Amount event per city =         14
OS Name = Unknown       City Name = zhangjiajie Amount event per city =         5
OS Name = Maemo City Name = zhangjiakou Amount event per city =         1
OS Name = Unknown       City Name = zhangjiakou Amount event per city =         22
OS Name = Unknown       City Name = zhangye     Amount event per city =         3
OS Name = Unknown       City Name = zhangzhou   Amount event per city =         18
OS Name = MeeGo City Name = zhanjiang   Amount event per city =         1
OS Name = Unknown       City Name = zhanjiang   Amount event per city =         27
OS Name = Sony Playstation      City Name = zhaoqing    Amount event per city =         1
OS Name = Unknown       City Name = zhaoqing    Amount event per city =         19
OS Name = Unknown mobile        City Name = zhaoqing    Amount event per city =         2
OS Name = Unknown       City Name = zhaotong    Amount event per city =         8
OS Name = Unknown       City Name = zhejiang    Amount event per city =         16
OS Name = Maemo City Name = zhengzhou   Amount event per city =         1
OS Name = MeeGo City Name = zhengzhou   Amount event per city =         2
OS Name = Unknown       City Name = zhengzhou   Amount event per city =         111
OS Name = Unknown mobile        City Name = zhengzhou   Amount event per city =         2
OS Name = Sony Playstation      City Name = zhenjiang   Amount event per city =         1
OS Name = Unknown       City Name = zhenjiang   Amount event per city =         15
OS Name = BlackBerry Tablet OS  City Name = zhongshan   Amount event per city =         2
OS Name = Unknown       City Name = zhongshan   Amount event per city =         60
OS Name = Unknown       City Name = zhongwei    Amount event per city =         1
OS Name = Unknown       City Name = zhoukou     Amount event per city =         7
OS Name = Unknown       City Name = zhoushan    Amount event per city =         4
OS Name = BlackBerry Tablet OS  City Name = zhuhai      Amount event per city =         1
OS Name = Maemo City Name = zhuhai      Amount event per city =         1
OS Name = MeeGo City Name = zhuhai      Amount event per city =         3
OS Name = Symbian OS 9.x        City Name = zhuhai      Amount event per city =         1
OS Name = Unknown       City Name = zhuhai      Amount event per city =         612
OS Name = Unknown       City Name = zhumadian   Amount event per city =         13
OS Name = Unknown       City Name = zhuzhou     Amount event per city =         17
OS Name = Unknown       City Name = zibo        Amount event per city =         15
OS Name = Unknown mobile        City Name = zibo        Amount event per city =         1
OS Name = Unknown       City Name = zigong      Amount event per city =         16
OS Name = Unknown       City Name = ziyang      Amount event per city =         3
OS Name = Maemo City Name = zunyi       Amount event per city =         1
OS Name = Unknown       City Name = zunyi       Amount event per city =         17
